Chargeback Reference Number,Transaction Date,Filing Date,Settlement Date,Issuer Bank,Merchant Name,Merchant Category,Transaction Amount,Currency,Reason Code,Chargeback Stage,Status,Analyst,SLA Met,Days to File,Days to Resolve,Resolution Channel,Merchant Risk Score,Transaction Type,Card Type,Customer Segment,Fraudulent Transaction,Fraud Type,Case Urgency,Cardholder Country
CBR861894,2025-01-04,2025-02-01,2025-01-29,Public Bank,Zalora,E-commerce,1238.67,CHF,R109 Fraudulent Activity,Arbitration,Lost,Nadiah Saat,Yes,28,3,Issuer Portal,43,POS,Debit,Business,Yes,Phishing,High,Philippines
CBR262029,2023-05-09,2023-06-01,2023-05-23,Maybank,Watsons,Retail,1905.61,CAD,R113 Unauthorized Recurring Charge,Pre-Arbitration,Lost,Akmal Danial,Yes,23,9,Manual Investigation,52,Subscription,Credit,Premium,Yes,Friendly Fraud,High,Malaysia
CBR535037,2025-11-18,2026-01-01,2025-12-06,CIMB,FamilyMart,Grocery,719.42,JPY,R108 Credit Not Processed,Arbitration,Won,Nadiah Saat,Yes,44,26,In-House Review,31,Online,Prepaid,Premium,No,-,Low,Vietnam
CBR786735,2024-03-01,2024-04-09,2024-03-24,UOB,Jaya Grocer,Grocery,190.18,MYR,R111 Technical Error,Arbitration,Lost,Shazlin Suhaime,Yes,39,16,Issuer Portal,69,POS,Credit,Business,No,-,Medium,Thailand
CBR203831,2025-05-07,2025-06-09,2025-05-27,Standard Chartered,Netflix,Entertainment,1739.94,BDT,R101 Unauthorized Transaction,First Chargeback,Submitted,Nadiah Saat,Yes,33,13,Automated Dispute System,68,Subscription,Prepaid,Business,Yes,Stolen Card,High,Malaysia
CBR974190,2024-01-01,2024-01-22,2024-01-15,UOB,IKEA,Retail,1381.59,EUR,R113 Unauthorized Recurring Charge,First Chargeback,Submitted,Akmal Danial,Yes,21,7,Manual Investigation,47,Subscription,Debit,Regular,Yes,Friendly Fraud,High,Australia
CBR613117,2025-10-10,2025-11-23,2025-10-24,UOB,MAXIS,Telecom,436.32,CNY,R104 Duplicate Charge,First Chargeback,Merchant Refunded,Shazlin Suhaime,Yes,44,30,Merchant Coordination,64,QR,Credit,Business,No,-,Medium,Indonesia
CBR745558,2025-03-25,2025-05-19,2025-04-21,Standard Chartered,Watsons,Retail,490.59,USD,R110 Customer Dispute,Pre-Arbitration,Lost,Akmal Danial,Yes,55,28,Manual Investigation,83,QR,Debit,Business,No,-,Medium,Indonesia
CBR527940,2023-08-03,2023-09-13,2023-08-20,RHB,Domino,Food & Beverage,552.32,EUR,R109 Fraudulent Activity,Pre-Arbitration,Pending Arbitration,Akmal Danial,Yes,41,24,Automated Dispute System,88,Online,Prepaid,Regular,Yes,Account Takeover,High,Malaysia
CBR393328,2024-07-03,2024-07-31,2024-07-17,AmBank,Agoda,Travel,993.74,AED,R113 Unauthorized Recurring Charge,Arbitration,Timed Out,Nadiah Saat,Yes,28,14,In-House Review,64,POS,Prepaid,Regular,Yes,Friendly Fraud,High,Malaysia
CBR134305,2024-06-23,2024-09-04,2024-07-07,OCBC,Digi,Telecom,514.4,CAD,R112 Billing Issue,Pre-Arbitration,Lost,Nadiah Saat,No,73,59,Automated Dispute System,47,Subscription,Prepaid,Business,No,-,Low,Malaysia
CBR823811,2023-02-18,2023-03-04,2023-02-27,UOB,MAXIS,Telecom,81.99,IDR,R113 Unauthorized Recurring Charge,First Chargeback,Submitted,Akmal Danial,Yes,14,5,Automated Dispute System,32,Subscription,Prepaid,Premium,Yes,Friendly Fraud,Low,Malaysia
CBR488528,2023-05-28,2023-06-14,2023-06-13,Public Bank,Econsave,Grocery,1028.18,KRW,R109 Fraudulent Activity,First Chargeback,Lost,Akmal Danial,Yes,17,1,Automated Dispute System,37,POS,Credit,Business,Yes,Account Takeover,High,Indonesia
CBR327823,2023-12-26,2024-01-29,2024-01-14,Public Bank,HBO Go,Subscription,150.02,EUR,R112 Billing Issue,Arbitration,Arbitration Closed,Akmal Danial,Yes,34,15,Automated Dispute System,63,Online,Debit,Regular,No,-,Medium,Australia
CBR564920,2024-05-26,2024-07-21,2024-06-02,UOB,Celcom,Telecom,686.68,CNY,R112 Billing Issue,Arbitration,Lost,Nadiah Saat,No,56,49,Automated Dispute System,54,Wallet,Debit,Regular,No,-,Low,Singapore
CBR566297,2024-05-08,2024-07-31,2024-05-22,Public Bank,MAXIS,Telecom,906.89,GBP,R114 Failed Delivery,Pre-Arbitration,Withdrawn by Cardholder,Shazlin Suhaime,No,84,70,Merchant Coordination,84,QR,Credit,Premium,No,-,Medium,Singapore
CBR347582,2024-10-16,2024-11-06,2024-11-05,Standard Chartered,H&M,Fashion,22.69,SGD,R113 Unauthorized Recurring Charge,First Chargeback,Merchant Refunded,Shazlin Suhaime,Yes,21,1,In-House Review,44,Subscription,Debit,Regular,Yes,Friendly Fraud,Low,United States
CBR997004,2024-07-10,2024-08-20,2024-08-04,AmBank,Giant,Grocery,1814.66,EUR,R113 Unauthorized Recurring Charge,Arbitration,Arbitration Filed,Akmal Danial,Yes,41,16,Manual Investigation,53,POS,Credit,Business,Yes,Friendly Fraud,High,Australia
CBR480303,2023-12-20,2024-04-02,2024-01-06,Standard Chartered,McDonald,Food & Beverage,904.71,USD,R110 Customer Dispute,Arbitration,Arbitration Filed,Akmal Danial,No,104,87,Merchant Coordination,37,Online,Credit,Business,No,-,Low,Malaysia
CBR204180,2024-10-23,2024-11-16,2024-11-07,Public Bank,Agoda,Travel,484.89,AED,R112 Billing Issue,Arbitration,Lost,Shazlin Suhaime,Yes,24,9,Automated Dispute System,74,Online,Credit,Regular,No,-,Medium,Thailand
CBR818987,2023-06-25,2023-09-07,2023-07-20,Public Bank,Econsave,Grocery,1426.49,EUR,R115 Payment Method Error,Arbitration,Arbitration Closed,Akmal Danial,No,74,49,Merchant Coordination,69,QR,Prepaid,Premium,No,-,Medium,Philippines
CBR485178,2025-12-04,2026-01-13,2025-12-20,UOB,TNG eWallet,Transport,1671.44,CHF,R106 Incorrect Amount,Arbitration,Lost,Nadiah Saat,Yes,40,24,Automated Dispute System,62,QR,Debit,Regular,Yes,Stolen Card,High,Malaysia
CBR670913,2025-03-08,2025-04-22,2025-04-07,AmBank,KFC,Food & Beverage,1298.48,HKD,R115 Payment Method Error,Pre-Arbitration,Pre-Arbitration Rejected,Shazlin Suhaime,Yes,45,15,Merchant Coordination,44,Wallet,Credit,Regular,No,-,Medium,Malaysia
CBR776149,2023-11-19,2024-01-21,2023-12-18,Standard Chartered,Watsons,Retail,1103.85,PHP,R107 Late Settlement,First Chargeback,Won,Shazlin Suhaime,Yes,63,34,Issuer Portal,58,Online,Debit,Regular,No,-,Medium,Malaysia
CBR476096,2023-12-29,2024-04-04,2024-01-09,CIMB,Giant,Grocery,571.32,CNY,R102 Services Not Received,Arbitration,Arbitration Closed,Shazlin Suhaime,No,97,86,Issuer Portal,49,QR,Debit,Business,Yes,Friendly Fraud,High,Singapore
CBR163491,2025-06-12,2025-10-05,2025-07-09,HSBC,Mydin,Grocery,1696.38,INR,R103 Goods Not as Described,First Chargeback,Additional Info Requested,Shazlin Suhaime,No,115,88,In-House Review,73,Subscription,Debit,Regular,No,-,Medium,Singapore
CBR517479,2024-07-28,2024-10-24,2024-08-16,Maybank,Celcom,Telecom,1149.69,GBP,R106 Incorrect Amount,Arbitration,Arbitration Filed,Akmal Danial,No,88,69,Merchant Coordination,70,Subscription,Credit,Premium,No,-,Medium,Thailand
CBR389282,2025-02-03,2025-04-03,2025-02-12,Bank Islam,Setel,Transport,1037.72,SGD,R102 Services Not Received,First Chargeback,Withdrawn by Cardholder,Nadiah Saat,No,59,50,Manual Investigation,34,Wallet,Debit,Premium,No,-,Medium,Japan
CBR299028,2023-11-20,2024-03-09,2023-12-20,OCBC,Trip.com,Travel,246.04,HKD,R108 Credit Not Processed,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,No,110,80,Issuer Portal,84,Online,Credit,Business,Yes,Synthetic Identity,High,Singapore
CBR228093,2025-05-30,2025-08-01,2025-06-17,RHB,Tesco,Grocery,349.06,CHF,R108 Credit Not Processed,Pre-Arbitration,Manual Review Required,Shazlin Suhaime,Yes,63,45,Manual Investigation,41,QR,Prepaid,Business,No,-,Low,Malaysia
CBR989227,2024-02-02,2024-04-08,2024-02-24,Maybank,Padini,Fashion,1121.34,USD,R111 Technical Error,Arbitration,Won,Shazlin Suhaime,Yes,66,44,Issuer Portal,45,POS,Prepaid,Premium,No,-,Medium,Malaysia
CBR964226,2024-12-28,2025-04-06,2025-01-06,HSBC,AEON,Grocery,1455.51,AED,R103 Goods Not as Described,Arbitration,Lost,Akmal Danial,No,99,90,Automated Dispute System,33,Wallet,Credit,Business,No,-,Medium,Australia
CBR576805,2025-11-23,2026-01-01,2025-12-23,Bank Islam,Expedia,Travel,301.06,GBP,R107 Late Settlement,Pre-Arbitration,Won,Shazlin Suhaime,Yes,39,9,Merchant Coordination,56,Subscription,Prepaid,Regular,No,-,Low,Malaysia
CBR196126,2024-09-21,2024-11-07,2024-10-14,RHB,Secret Recipe,Food & Beverage,1950.31,USD,R111 Technical Error,Arbitration,Arbitration Filed,Shazlin Suhaime,Yes,47,24,Issuer Portal,58,Wallet,Credit,Regular,No,-,Medium,Malaysia
CBR794963,2025-05-09,2025-06-03,2025-05-17,Standard Chartered,Traveloka,Travel,1264.87,CAD,R109 Fraudulent Activity,Arbitration,Won,Akmal Danial,Yes,25,17,Automated Dispute System,86,Online,Debit,Business,Yes,Account Takeover,High,Hong Kong
CBR322409,2025-02-21,2025-04-26,2025-03-16,AmBank,Tesco,Grocery,1189.77,CAD,R105 Cancelled Subscription,Arbitration,Lost,Nadiah Saat,Yes,64,41,Automated Dispute System,41,Subscription,Prepaid,Business,No,-,Medium,Australia
CBR772875,2025-01-12,2025-03-18,2025-02-03,UOB,Adidas,Fashion,1348.03,CNY,R114 Failed Delivery,Pre-Arbitration,Withdrawn by Cardholder,Akmal Danial,Yes,65,43,Automated Dispute System,73,Subscription,Credit,Premium,No,-,Medium,Malaysia
CBR770556,2023-01-29,2023-02-27,2023-02-10,Standard Chartered,Viu,Entertainment,210.41,CHF,R109 Fraudulent Activity,Arbitration,Arbitration Closed,Akmal Danial,Yes,29,17,In-House Review,78,QR,Debit,Premium,Yes,Account Takeover,Medium,Malaysia
CBR726152,2024-05-27,2024-06-22,2024-06-08,Maybank,Expedia,Travel,1950.06,JPY,R101 Unauthorized Transaction,Pre-Arbitration,Lost,Akmal Danial,Yes,26,14,Automated Dispute System,40,QR,Prepaid,Premium,Yes,Account Takeover,High,South Korea
CBR122394,2025-11-09,2025-12-30,2025-11-23,Public Bank,Jaya Grocer,Grocery,25.17,NZD,R108 Credit Not Processed,Arbitration,Lost,Akmal Danial,Yes,51,37,Automated Dispute System,35,POS,Prepaid,Premium,No,-,Low,Thailand
CBR153035,2025-04-24,2025-06-15,2025-05-05,HSBC,Disney+,Entertainment,932.64,EUR,R111 Technical Error,Arbitration,Won,Shazlin Suhaime,Yes,52,41,In-House Review,66,Subscription,Prepaid,Business,Yes,Friendly Fraud,High,Australia
CBR925013,2025-04-17,2025-06-27,2025-04-30,RHB,Sephora,E-commerce,1448.04,GBP,R114 Failed Delivery,Pre-Arbitration,Lost,Nadiah Saat,No,71,58,In-House Review,38,POS,Credit,Premium,No,-,Medium,Malaysia
CBR449709,2024-09-15,2024-10-31,2024-10-04,RHB,Watsons,Retail,1547.79,THB,R112 Billing Issue,Arbitration,Arbitration Closed,Shazlin Suhaime,Yes,46,27,In-House Review,43,QR,Debit,Business,No,-,Medium,Malaysia
CBR355400,2025-02-17,2025-05-24,2025-03-18,Maybank,Popular,Retail,1649.98,MYR,R104 Duplicate Charge,Arbitration,Lost,Shazlin Suhaime,No,96,67,Merchant Coordination,43,POS,Prepaid,Business,No,-,Medium,Malaysia
CBR232040,2024-09-21,2024-12-24,2024-10-21,CIMB,Texas Chicken,Food & Beverage,27.23,GBP,R104 Duplicate Charge,First Chargeback,Under Review,Shazlin Suhaime,No,94,64,Manual Investigation,47,POS,Prepaid,Business,No,-,Low,Thailand
CBR925206,2023-07-03,2023-09-05,2023-07-14,Public Bank,Charles & Keith,Fashion,1293.11,USD,R102 Services Not Received,Arbitration,Lost,Akmal Danial,No,64,53,Issuer Portal,81,Wallet,Credit,Business,No,-,Medium,Indonesia
CBR692002,2024-11-09,2024-12-29,2024-12-07,Bank Islam,Lazada,E-commerce,231.78,CNY,R113 Unauthorized Recurring Charge,Pre-Arbitration,Lost,Shazlin Suhaime,Yes,50,22,Automated Dispute System,84,QR,Prepaid,Premium,Yes,Friendly Fraud,High,Indonesia
CBR315173,2024-10-30,2024-12-24,2024-11-29,RHB,Charles & Keith,Fashion,196.24,AED,R105 Cancelled Subscription,Pre-Arbitration,Lost,Shazlin Suhaime,Yes,55,25,In-House Review,31,Subscription,Prepaid,Premium,No,-,Low,Malaysia
CBR171942,2025-06-26,2025-08-18,2025-07-17,UOB,Domino,Food & Beverage,1297.15,PHP,R111 Technical Error,Arbitration,Won,Akmal Danial,Yes,53,32,In-House Review,43,Wallet,Credit,Business,No,-,Medium,Australia
CBR970127,2023-06-09,2023-09-08,2023-07-05,RHB,Secret Recipe,Food & Beverage,1229.15,PHP,R104 Duplicate Charge,Arbitration,Won,Akmal Danial,No,91,65,Merchant Coordination,40,Online,Debit,Regular,No,-,Medium,Malaysia
CBR902325,2025-01-04,2025-02-25,2025-01-29,Maybank,Sephora,E-commerce,1350.01,SGD,R113 Unauthorized Recurring Charge,Pre-Arbitration,Merchant Refunded,Nadiah Saat,Yes,52,27,Automated Dispute System,86,Subscription,Debit,Premium,Yes,Friendly Fraud,High,Hong Kong
CBR681128,2023-02-04,2023-03-15,2023-03-04,AmBank,H&M,Fashion,809.53,HKD,R111 Technical Error,Pre-Arbitration,Pre-Arbitration Rejected,Nadiah Saat,Yes,39,11,Merchant Coordination,73,Wallet,Debit,Business,No,-,Medium,Singapore
CBR317220,2025-10-20,2025-11-26,2025-11-14,RHB,IKEA,Retail,1449.7,USD,R109 Fraudulent Activity,First Chargeback,Timed Out,Nadiah Saat,Yes,37,12,Merchant Coordination,54,POS,Debit,Premium,Yes,Phishing,High,Malaysia
CBR714867,2023-04-29,2023-08-04,2023-05-17,Public Bank,Expedia,Travel,1519.95,NZD,R106 Incorrect Amount,First Chargeback,Timed Out,Shazlin Suhaime,No,97,79,Automated Dispute System,68,POS,Prepaid,Business,No,-,Medium,Malaysia
CBR326441,2023-01-21,2023-02-13,2023-02-06,OCBC,Astro,Subscription,406.12,HKD,R110 Customer Dispute,Arbitration,Arbitration Closed,Nadiah Saat,Yes,23,7,Merchant Coordination,60,POS,Prepaid,Regular,No,-,Low,Malaysia
CBR952547,2023-12-05,2023-12-18,2023-12-13,AmBank,Expedia,Travel,1477.97,THB,R101 Unauthorized Transaction,First Chargeback,Submitted,Nadiah Saat,Yes,13,5,Automated Dispute System,77,POS,Prepaid,Business,Yes,Account Takeover,High,United States
CBR344316,2023-06-13,2023-09-06,2023-07-02,RHB,Spotify,Subscription,413.75,AUD,R112 Billing Issue,Arbitration,Lost,Shazlin Suhaime,No,85,66,Merchant Coordination,68,Wallet,Credit,Regular,No,-,Medium,United States
CBR444519,2025-01-15,2025-02-10,2025-01-22,Bank Islam,IKEA,Retail,1162.62,HKD,R107 Late Settlement,First Chargeback,Won,Nadiah Saat,Yes,26,19,Issuer Portal,84,Subscription,Credit,Regular,No,-,Medium,Philippines
CBR911984,2024-03-18,2024-06-25,2024-04-08,Bank Islam,Viu,Entertainment,1773.7,CHF,R105 Cancelled Subscription,Arbitration,Lost,Shazlin Suhaime,No,99,78,Merchant Coordination,57,Online,Credit,Premium,No,-,Medium,Philippines
CBR254721,2025-04-16,2025-05-23,2025-05-14,Public Bank,Celcom,Telecom,1200.94,CAD,R110 Customer Dispute,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,Yes,37,9,Merchant Coordination,30,Wallet,Prepaid,Regular,No,-,Medium,Malaysia
CBR926952,2025-09-20,2025-11-14,2025-10-04,AmBank,Mydin,Grocery,839.84,KRW,R114 Failed Delivery,Arbitration,Lost,Akmal Danial,Yes,55,41,In-House Review,79,Wallet,Prepaid,Premium,Yes,Friendly Fraud,High,Singapore
CBR724932,2025-07-30,2025-11-10,2025-08-22,CIMB,MR.DIY,Retail,64.84,INR,R103 Goods Not as Described,Pre-Arbitration,Won,Akmal Danial,No,103,80,Manual Investigation,58,QR,Credit,Business,No,-,Low,Thailand
CBR102973,2025-03-04,2025-06-07,2025-03-28,UOB,Zalora,E-commerce,476.6,KRW,R115 Payment Method Error,Pre-Arbitration,Pre-Arbitration Rejected,Shazlin Suhaime,No,95,71,Manual Investigation,43,QR,Credit,Business,No,-,Low,Singapore
CBR390743,2023-03-09,2023-04-09,2023-03-26,Standard Chartered,Grab,Transport,303.84,ZAR,R112 Billing Issue,First Chargeback,Won,Shazlin Suhaime,Yes,31,14,Merchant Coordination,90,Subscription,Credit,Business,No,-,Medium,Australia
CBR251716,2023-05-29,2023-07-20,2023-06-14,HSBC,PG Mall,E-commerce,719.86,IDR,R104 Duplicate Charge,Arbitration,Won,Akmal Danial,Yes,52,36,Merchant Coordination,82,Subscription,Debit,Regular,No,-,Medium,Malaysia
CBR236306,2023-08-12,2023-09-22,2023-09-04,Standard Chartered,Spotify,Subscription,94.79,CAD,R101 Unauthorized Transaction,Pre-Arbitration,Manual Review Required,Nadiah Saat,Yes,41,18,Issuer Portal,81,QR,Credit,Business,Yes,Account Takeover,High,Malaysia
CBR666456,2023-12-17,2024-03-04,2024-01-01,CIMB,foodpanda,Food & Beverage,556.03,ZAR,R107 Late Settlement,Pre-Arbitration,Merchant Refunded,Shazlin Suhaime,No,78,63,Automated Dispute System,41,Online,Debit,Regular,No,-,Low,Malaysia
CBR362829,2024-12-15,2025-01-22,2024-12-29,UOB,MR.DIY,Retail,1151.23,IDR,R113 Unauthorized Recurring Charge,Arbitration,Won,Nadiah Saat,Yes,38,24,Manual Investigation,66,Online,Prepaid,Business,Yes,Friendly Fraud,High,Hong Kong
CBR937302,2024-07-20,2024-08-09,2024-08-05,UOB,Sephora,E-commerce,631.14,GBP,R101 Unauthorized Transaction,Arbitration,Arbitration Closed,Shazlin Suhaime,Yes,20,4,Automated Dispute System,82,Online,Credit,Regular,Yes,Account Takeover,High,Malaysia
CBR282973,2023-12-05,2024-01-11,2024-01-04,AmBank,Agoda,Travel,1534.01,IDR,R106 Incorrect Amount,First Chargeback,Under Review,Shazlin Suhaime,Yes,37,7,Issuer Portal,41,Online,Debit,Regular,No,-,Medium,India
CBR215266,2023-07-06,2023-08-15,2023-07-27,Maybank,HBO Go,Subscription,1926.4,AED,R114 Failed Delivery,First Chargeback,Timed Out,Shazlin Suhaime,Yes,40,19,Issuer Portal,68,Wallet,Prepaid,Premium,No,-,Medium,Singapore
CBR793169,2025-09-11,2025-12-26,2025-09-30,UOB,PG Mall,E-commerce,1569.9,INR,R104 Duplicate Charge,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,No,106,87,Manual Investigation,56,POS,Debit,Business,Yes,Stolen Card,High,Singapore
CBR127032,2024-01-05,2024-02-18,2024-02-02,Standard Chartered,AirAsia,Travel,158.22,HKD,R113 Unauthorized Recurring Charge,First Chargeback,Won,Shazlin Suhaime,Yes,44,16,In-House Review,80,Wallet,Debit,Business,Yes,Friendly Fraud,Medium,Vietnam
CBR238205,2024-01-18,2024-03-10,2024-02-09,HSBC,KFC,Food & Beverage,1824.0,SGD,R101 Unauthorized Transaction,First Chargeback,Won,Akmal Danial,Yes,52,30,In-House Review,47,Online,Debit,Regular,Yes,Stolen Card,High,Singapore
CBR115582,2025-04-12,2025-07-08,2025-04-20,RHB,Padini,Fashion,1743.71,MYR,R103 Goods Not as Described,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,No,87,79,Automated Dispute System,63,Subscription,Debit,Premium,No,-,Medium,Singapore
CBR475644,2025-02-16,2025-04-17,2025-03-09,HSBC,Digi,Telecom,1084.1,SGD,R112 Billing Issue,Pre-Arbitration,Won,Nadiah Saat,Yes,60,39,In-House Review,44,Online,Prepaid,Business,No,-,Medium,Hong Kong
CBR928358,2024-11-25,2024-12-29,2024-12-13,CIMB,PG Mall,E-commerce,861.51,AUD,R110 Customer Dispute,Pre-Arbitration,Lost,Shazlin Suhaime,Yes,34,16,Issuer Portal,35,Online,Credit,Business,No,-,Low,Hong Kong
CBR926730,2025-01-18,2025-05-15,2025-02-15,RHB,Agoda,Travel,1560.93,BDT,R103 Goods Not as Described,Arbitration,Lost,Akmal Danial,No,117,89,Merchant Coordination,85,QR,Debit,Business,No,-,Medium,Philippines
CBR349489,2024-10-20,2024-12-13,2024-11-19,UOB,Starbucks,Food & Beverage,123.84,HKD,R110 Customer Dispute,First Chargeback,Under Review,Nadiah Saat,Yes,54,24,Manual Investigation,84,Wallet,Prepaid,Regular,No,-,Medium,Malaysia
CBR717457,2023-07-27,2023-09-12,2023-08-23,Public Bank,Viu,Entertainment,1143.59,MYR,R107 Late Settlement,Pre-Arbitration,Manual Review Required,Akmal Danial,Yes,47,20,In-House Review,39,Online,Credit,Regular,No,-,Medium,Philippines
CBR439498,2023-09-23,2023-10-14,2023-10-13,Bank Islam,Jaya Grocer,Grocery,1040.14,EUR,R113 Unauthorized Recurring Charge,Pre-Arbitration,Merchant Refunded,Akmal Danial,Yes,21,1,Merchant Coordination,86,Subscription,Credit,Regular,Yes,Friendly Fraud,High,Singapore
CBR116547,2024-08-25,2024-11-29,2024-09-20,RHB,Netflix,Entertainment,1814.54,AED,R112 Billing Issue,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,No,96,70,Merchant Coordination,66,QR,Prepaid,Premium,Yes,Stolen Card,High,India
CBR282710,2023-08-31,2023-10-17,2023-09-25,Maybank,H&M,Fashion,1624.05,PHP,R101 Unauthorized Transaction,Arbitration,Arbitration Closed,Akmal Danial,Yes,47,22,Automated Dispute System,55,QR,Prepaid,Premium,Yes,Stolen Card,High,Thailand
CBR378258,2025-11-15,2026-03-09,2025-12-11,AmBank,Trip.com,Travel,1095.03,MYR,R111 Technical Error,Pre-Arbitration,Lost,Akmal Danial,No,114,88,Merchant Coordination,39,Online,Prepaid,Premium,No,-,Medium,Australia
CBR154944,2023-11-18,2024-02-04,2023-12-14,HSBC,Apple Music,Subscription,911.33,CAD,R105 Cancelled Subscription,Arbitration,Won,Akmal Danial,No,78,52,Manual Investigation,55,QR,Prepaid,Premium,No,-,Low,Philippines
CBR232915,2023-11-08,2024-01-24,2023-12-04,AmBank,Sephora,E-commerce,394.53,HKD,R115 Payment Method Error,First Chargeback,Won,Shazlin Suhaime,No,77,51,Automated Dispute System,48,Online,Prepaid,Premium,No,-,Low,Indonesia
CBR877747,2023-08-12,2023-09-17,2023-08-29,HSBC,Starbucks,Food & Beverage,1813.74,CNY,R109 Fraudulent Activity,First Chargeback,Timed Out,Nadiah Saat,Yes,36,19,Issuer Portal,54,Online,Credit,Premium,Yes,Friendly Fraud,High,Malaysia
CBR541409,2025-01-30,2025-03-09,2025-02-06,Bank Islam,Starbucks,Food & Beverage,620.34,CNY,R107 Late Settlement,Arbitration,Arbitration Filed,Shazlin Suhaime,Yes,38,31,Automated Dispute System,32,Subscription,Prepaid,Business,No,-,Low,Malaysia
CBR651640,2023-12-09,2024-03-09,2023-12-31,UOB,FamilyMart,Grocery,1643.93,SGD,R103 Goods Not as Described,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,No,91,69,In-House Review,90,Online,Debit,Business,No,-,Medium,Malaysia
CBR219169,2024-01-12,2024-03-15,2024-01-25,Maybank,IKEA,Retail,306.99,MYR,R103 Goods Not as Described,Arbitration,Arbitration Closed,Nadiah Saat,No,63,50,Manual Investigation,68,Wallet,Prepaid,Premium,Yes,Account Takeover,Medium,Thailand
CBR881886,2025-10-04,2025-11-05,2025-10-22,RHB,Disney+,Entertainment,682.26,INR,R102 Services Not Received,First Chargeback,Submitted,Akmal Danial,Yes,32,14,In-House Review,47,Online,Debit,Business,No,-,Low,Thailand
CBR166645,2025-05-08,2025-08-28,2025-06-03,HSBC,Tesco,Grocery,463.72,THB,R106 Incorrect Amount,Arbitration,Arbitration Filed,Shazlin Suhaime,No,112,86,Issuer Portal,35,Online,Prepaid,Business,No,-,Low,India
CBR599380,2023-10-23,2023-12-17,2023-11-07,CIMB,Netflix,Entertainment,1778.77,KRW,R110 Customer Dispute,First Chargeback,Lost,Akmal Danial,Yes,55,40,Automated Dispute System,46,Wallet,Prepaid,Regular,No,-,Medium,Indonesia
CBR570050,2023-05-12,2023-09-05,2023-06-09,HSBC,Tealive,Food & Beverage,933.82,AED,R104 Duplicate Charge,Pre-Arbitration,Lost,Nadiah Saat,No,116,88,In-House Review,57,Online,Debit,Regular,No,-,Low,Japan
CBR915809,2024-12-31,2025-03-23,2025-01-13,CIMB,Guardian,Retail,1247.3,PHP,R102 Services Not Received,Arbitration,Lost,Akmal Danial,No,82,69,Issuer Portal,66,Online,Prepaid,Business,No,-,Medium,Thailand
CBR479625,2024-02-14,2024-04-25,2024-03-05,RHB,Secret Recipe,Food & Beverage,1986.79,CAD,R103 Goods Not as Described,Arbitration,Lost,Nadiah Saat,No,71,51,Manual Investigation,48,Subscription,Credit,Premium,No,-,Medium,Philippines
CBR638169,2025-11-23,2026-02-02,2025-12-04,Bank Islam,AirAsia,Travel,430.35,PHP,R114 Failed Delivery,Arbitration,Arbitration Closed,Akmal Danial,No,71,60,Automated Dispute System,49,POS,Prepaid,Premium,No,-,Low,Malaysia
CBR722503,2025-06-02,2025-07-21,2025-06-19,Bank Islam,AEON,Grocery,657.24,PHP,R111 Technical Error,First Chargeback,Timed Out,Akmal Danial,Yes,49,32,Issuer Portal,45,QR,Prepaid,Regular,No,-,Low,Malaysia
CBR214351,2025-10-27,2025-12-13,2025-11-26,AmBank,Uniqlo,Fashion,377.44,KRW,R109 Fraudulent Activity,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,Yes,47,17,Automated Dispute System,32,Subscription,Credit,Business,Yes,Friendly Fraud,Low,Singapore
CBR573962,2025-05-18,2025-08-14,2025-06-04,AmBank,Apple Music,Subscription,896.26,MYR,R105 Cancelled Subscription,Arbitration,Lost,Akmal Danial,No,88,71,In-House Review,53,Subscription,Debit,Business,No,-,Low,Australia
CBR628313,2023-11-10,2023-12-14,2023-12-09,AmBank,Grab,Transport,795.28,MYR,R113 Unauthorized Recurring Charge,First Chargeback,Lost,Nadiah Saat,Yes,34,5,Issuer Portal,44,QR,Prepaid,Premium,Yes,Friendly Fraud,High,Malaysia
CBR332311,2023-11-07,2023-11-29,2023-11-26,Standard Chartered,HBO Go,Subscription,558.34,ZAR,R101 Unauthorized Transaction,Pre-Arbitration,Won,Nadiah Saat,Yes,22,3,Automated Dispute System,89,QR,Credit,Premium,Yes,Stolen Card,High,Malaysia
CBR744986,2025-02-09,2025-05-14,2025-03-07,RHB,Traveloka,Travel,197.89,INR,R110 Customer Dispute,First Chargeback,Lost,Akmal Danial,No,94,68,Manual Investigation,69,Subscription,Credit,Regular,No,-,Medium,Thailand
CBR145471,2024-01-09,2024-01-19,2024-01-18,RHB,Spotify,Subscription,1501.26,HKD,R101 Unauthorized Transaction,Arbitration,Arbitration Closed,Nadiah Saat,Yes,10,1,Manual Investigation,77,Subscription,Prepaid,Premium,Yes,Account Takeover,High,Indonesia
CBR862569,2024-04-22,2024-07-14,2024-05-16,CIMB,Grab,Transport,1255.66,PHP,R114 Failed Delivery,Arbitration,Won,Nadiah Saat,No,83,59,Automated Dispute System,89,Online,Prepaid,Business,No,-,Medium,Vietnam
